PL_NAME,SPEC_PATH,SPEC_TYPE,BIBCODE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE
WASP-39 b,27/98/69/00/WASP_39_b_3.11466_3491_1.tbl,Transmission,2015PASP..127..143R,Ricci et al. 2015,1,Marconi CCD,Observatorio Astronomico Nacional's 2.1m Telescope,0.354,0.354,null,null,null
WASP-39 b,88/05/90/99/WASP_39_b_3.11466_3491_2.tbl,Transmission,2015PASP..127..143R,Ricci et al. 2015,2,Mexman,Observatorio Astronomico Nacional's 0.84m Telescope,0.634,0.804,null,null,null
WASP-39 b,65/39/94/57/WASP_39_b_3.11466_3717_1.tbl,Transmission,2016Natur.529...59S,Sing et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,null,null,null
WASP-39 b,97/09/63/32/WASP_39_b_3.11466_3717_2.tbl,Transmission,2016Natur.529...59S,Sing et al. 2016,33,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.33,0.965,null,null,null
WASP-39 b,40/07/33/40/WASP_39_b_3.11466_3868_1.tbl,Transmission,2016ApJ...827...19F,Fischer et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2456401.3973,2456575.7747,null
WASP-39 b,80/70/32/30/WASP_39_b_3.11466_3868_2.tbl,Transmission,2016ApJ...827...19F,Fischer et al. 2016,33,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.33,0.96,null,null,null
WASP-39 b,68/86/51/20/WASP_39_b_3.11466_3939_1.tbl,Transmission,2016ApJ...832..191N,Nikolov et al. 2016,28,FORS2,Very Large Telescope (Antu),0.418,0.79,null,null,null
WASP-39 b,36/05/64/60/WASP_39_b_3.11466_4132_1.tbl,Transmission,2018AJ....155...29W,Wakeford et al. 2018,36,Wide Field Camera 3,Hubble Space Telescope satellite,0.8225,1.6435,null,null,null
WASP-39 b,66/84/49/13/WASP_39_b_3.11466_4988_4.tbl,Transmission,2022arXiv220811692T,JWST Transiting Exoplanet Community ERS Team 2022,243,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.0007,5.3405,null,null,Tiberius pipeline
WASP-39 b,74/45/82/95/WASP_39_b_3.11466_4988_2.tbl,Transmission,2022arXiv220811692T,JWST Transiting Exoplanet Community ERS Team 2022,95,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.0139,5.5476,null,null,FIREFLy pipeline
WASP-39 b,44/68/81/89/WASP_39_b_3.11466_4988_3.tbl,Transmission,2022arXiv220811692T,JWST Transiting Exoplanet Community ERS Team 2022,67,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.017,5.465,null,null,tshirt pipeline
WASP-39 b,34/24/95/24/WASP_39_b_3.11466_4988_1.tbl,Transmission,2022arXiv220811692T,JWST Transiting Exoplanet Community ERS Team 2022,94,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.0085,5.288,null,null,Eureka! pipeline
WASP-39 b,88/18/58/62/WASP_39_b_3.11466_5040_1.tbl,Transmission,2022arXiv221110489A,Ahrer et al. 2022,107,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.4275,4.0175,2459783.5016,2459783.5016,null
WASP-39 b,90/40/28/43/WASP_39_b_3.11466_5077_1.tbl,Transmission,2022arXiv221110488A,Alderson et al. 2022,344,Near Infrared Spectrograph (NIRSpec) - G395H,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7629,5.1691,null,null,null
WASP-39 b,74/34/80/11/WASP_39_b_3.11466_5078_1.tbl,Transmission,2022arXiv221110493F,Feinstein et al. 2022,331,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.631,2.7965,null,null,null
WASP-39 b,48/21/79/45/WASP_39_b_3.11466_5087_1.tbl,Transmission,2022arXiv221110487R,Rustamkulov et al. 2022,207,Near Infrared Spectrograph (NIRSpec) - PRISM,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.5315,5.3441,null,null,null
WASP-39 b,07/98/49/41/WASP_39_b_3.11466_5295_1.tbl,Transmission,2023A&A...677A..51P,Panek et al. 2023,20,Wide Field Camera 3,Hubble Space Telescope satellite,1.0994,1.6616,null,null,null
